# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AL356053.1	ENSG00000150076	ENST00000302316	protein_coding	0	1	0	0	0	1	0	1	0	0
AL356053.1	ENSG00000150076	ENST00000375025	protein_coding	0	1	0	0	0	1	0	1	0	0
AL356053.1	ENSG00000150076	ENST00000375028	protein_coding	0	1	0	0	0	1	0	1	0	0
ARGLU1	ENSG00000134884	ENST00000360629	protein_coding	0	1	0	0	0	1	0	0	0	0
ARGLU1	ENSG00000134884	ENST00000375926	protein_coding	0	1	0	0	0	1	0	0	0	0
ARGLU1	ENSG00000134884	ENST00000400198	protein_coding	1	0	0	0	0	0	0	0	1	0
ARGLU1	ENSG00000134884	ENST00000472226	processed_transcript	0	0	1	0	0	0	0	0	0	1
CMPK2	ENSG00000134326	ENST00000256722	protein_coding	0	1	0	0	0	1	0	0	0	0
CMPK2	ENSG00000134326	ENST00000404168	protein_coding	0	1	0	0	0	1	0	0	0	0
CMPK2	ENSG00000134326	ENST00000458098	protein_coding	0	0	1	0	1	0	0	0	0	0
CMPK2	ENSG00000134326	ENST00000465619	processed_transcript	0	0	1	0	0	0	1	0	0	0
CMPK2	ENSG00000134326	ENST00000478738	processed_transcript	0	0	1	0	0	0	1	0	0	0
CMPK2	ENSG00000134326	ENST00000491738	processed_transcript	0	0	1	0	0	0	1	0	0	0
COL7A1	ENSG00000114270	ENST00000328333	protein_coding	0	0	1	0	1	0	0	0	0	0
COL7A1	ENSG00000114270	ENST00000390201	miRNA	0	0	1	1	0	0	0	0	0	0
COL7A1	ENSG00000114270	ENST00000422991	protein_coding	0	0	1	0	0	0	0	0	0	1
COL7A1	ENSG00000114270	ENST00000462475	retained_intron	0	0	1	0	0	0	0	0	0	1
COL7A1	ENSG00000114270	ENST00000487017	retained_intron	0	0	1	0	1	0	0	0	0	0
CWC22	ENSG00000163510	ENST00000404136	protein_coding	0	1	0	0	0	1	0	0	0	0
CWC22	ENSG00000163510	ENST00000410053	protein_coding	0	1	0	0	0	1	0	0	0	0
CYP4X1	ENSG00000186377	ENST00000371901	protein_coding	0	0	1	0	1	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000340099	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000561659	nonsense_mediated_decay	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000561918	processed_transcript	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000562737	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000564378	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000566588	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000566936	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000567214	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000567276	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000568617	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000569010	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000569250	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000569538	protein_coding	0	0	1	1	0	0	0	0	0	0
DOK4	ENSG00000125170	ENST00000569548	protein_coding	0	0	1	1	0	0	0	0	0	0
DSC1	ENSG00000134765	ENST00000257197	protein_coding	0	1	0	0	0	1	0	0	0	0
DSC1	ENSG00000134765	ENST00000257198	protein_coding	0	1	0	0	0	1	0	0	0	0
DSCAS	ENSG00000265888	ENST00000581836	antisense	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000261416	protein_coding	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000503312	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1
HEXB	ENSG00000049860	ENST00000504459	retained_intron	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000505859	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1
HEXB	ENSG00000049860	ENST00000509579	protein_coding	0	0	1	0	0	0	0	0	0	1
HEXB	ENSG00000049860	ENST00000511181	protein_coding	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000511621	retained_intron	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000513336	protein_coding	0	0	1	0	1	0	0	0	0	0
HEXB	ENSG00000049860	ENST00000513539	processed_transcript	0	0	1	0	0	0	0	0	0	1
HS6ST2	ENSG00000171004	ENST00000370833	protein_coding	1	0	0	0	0	0	0	0	1	0
HS6ST2	ENSG00000171004	ENST00000370836	protein_coding	0	0	1	0	1	0	0	0	0	0
HS6ST2	ENSG00000171004	ENST00000406696	protein_coding	0	0	1	0	1	0	0	0	0	0
HS6ST2	ENSG00000171004	ENST00000521489	protein_coding	1	0	0	0	0	0	0	0	1	0
HS6ST2-AS1	ENSG00000235849	ENST00000455269	antisense	0	0	1	0	1	0	0	0	0	0
IGHV1-69	ENSG00000211973	ENST00000390633	IG_V_gene	0	3	0	0	0	3	0	0	0	0
LPA	ENSG00000198670	ENST00000316300	protein_coding	0	1	0	0	0	1	0	0	0	0
MBOAT2	ENSG00000143797	ENST00000305997	protein_coding	0	0	1	0	1	0	0	0	0	0
MBOAT2	ENSG00000143797	ENST00000462696	protein_coding	0	0	1	0	1	0	0	0	0	0
MBOAT2	ENSG00000143797	ENST00000474341	processed_transcript	0	0	1	0	1	0	0	0	0	0
MBOAT2	ENSG00000143797	ENST00000477073	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0
MBOAT2	ENSG00000143797	ENST00000486484	processed_transcript	0	0	1	0	1	0	0	0	0	0
MOCS1P1	ENSG00000260347	ENST00000564020	processed_pseudogene	0	0	1	0	0	0	1	0	0	0
NEB	ENSG00000183091	ENST00000172853	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000397345	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000409198	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000413693	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000427231	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000603639	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000604864	protein_coding	1	1	0	0	0	1	0	0	1	0
NEB	ENSG00000183091	ENST00000618972	protein_coding	1	1	0	0	0	1	0	0	1	0
OR4L1	ENSG00000176246	ENST00000315683	protein_coding	0	1	0	0	0	1	0	0	0	0
OR6A2	ENSG00000184933	ENST00000332601	protein_coding	1	0	0	0	0	0	0	0	1	0
PADI1	ENSG00000142623	ENST00000375471	protein_coding	0	0	1	0	1	0	0	0	0	0
PADI1	ENSG00000142623	ENST00000460293	processed_transcript	0	0	1	0	1	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000219252	protein_coding	0	0	1	0	1	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000562599	nonsense_mediated_decay	0	0	1	1	0	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000562953	retained_intron	0	0	1	1	0	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000563115	retained_intron	0	0	1	1	0	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000563589	retained_intron	0	0	1	1	0	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000564651	processed_transcript	0	0	1	1	0	0	0	0	0	0
POLR2C	ENSG00000102978	ENST00000567982	retained_intron	0	0	1	0	0	0	1	0	0	0
